"가족구성",1인가구,1241,35.6,64.4,1338,61.4,38.6,1336,71.2,28.8
"가족구성",1세대가구,1872,29.2,70.8,1832,52.3,47.7,1829,69.1,30.9
"가족구성",2세대가구,6698,45.3,54.7,6181,81.1,18.9,6136,88.9,11.1
"가족구성",3세대가구,556,38.7,61.3,422,66.8,33.2,500,74.7,25.3
"가족구성",기타,497,44.1,55.9,529,67.6,32.4,353,70.1,29.9
"가구원수1",1인가구,1241,35.6,64.4,1338,61.4,38.6,1336,71.2,28.8
"가구원수1",2인가구,2716,33.9,66.1,2678,59.2,40.8,2689,72.4,27.6
"가구원수1",3인이상가구,6908,44.8,55.2,6286,80.0,20.0,6130,88.0,12.0
"가구주와의관계",가구주,4671,36.4,63.6,4625,66.8,33.2,4568,77.6,22.4
"가구주와의관계",가구주의배우자,2678,36.5,63.5,2514,68.0,32.0,2457,80.6,19.4
"가구주와의관계",가구주의자녀,3064,53.7,46.3,2774,87.5,12.5,2733,93.1,6.9
"가구주와의관계",자녀의배우자,48,41.0,59.0,39,87.8,12.2,29,97.0,3.0
"가구주와의관계",손자.녀/그배우자,94,45.7,54.3,75,90.2,9.8,79,94.5,5.5
"가구주와의관계",부모(배우자부모포함),189,5.9,94.1,173,11.6,88.4,164,13.5,86.5
"가구주와의관계",조부모(배우자조부모포함),9,0.0,100.0,13,0.0,100.0,13,0.0,100.0
"가구주와의관계",형제자매/그배우자,81,54.0,46.0,78,94.7,5.3,86,88.4,11.6
"가구주와의관계",기타친인척,22,67.6,32.4,12,90.5,9.5,16,88.6,11.4
"가구주와의관계",동거인,6,66.6,33.4,2,100.0,0.0,9,100.0,0.0
